#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-01-09, 14:35:14
# Real time (s): 11823.350
# Live time (s): 11028.830
#
# Total counts:  59919795
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1129086
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
712	173.505	5820	0.527708
713	173.749	5959	0.540311
714	173.993	5714	0.518097
715	174.237	5850	0.530428
716	174.481	5779	0.52399
717	174.725	5793	0.52526
718	174.968	5770	0.523174
719	175.212	5672	0.514288
720	175.456	5827	0.528343
721	175.700	5755	0.521814
722	175.944	5696	0.516465
723	176.188	5698	0.516646
724	176.432	5839	0.529431
725	176.675	5714	0.518097
726	176.919	5648	0.512112
727	177.163	5620	0.509574
728	177.407	5800	0.525894
729	177.651	5750	0.521361
730	177.895	5645	0.51184
731	178.139	5714	0.518097
732	178.383	5842	0.529703
733	178.626	5520	0.500506
734	178.870	5589	0.506763
735	179.114	5633	0.510752
736	179.358	5538	0.502138
737	179.602	5616	0.509211
738	179.846	5489	0.497696
739	180.090	5698	0.516646
740	180.333	5542	0.502501
741	180.577	5503	0.498965
742	180.821	5661	0.513291
743	181.065	5424	0.491802
744	181.309	5589	0.506763
745	181.553	5579	0.505856
746	181.797	5494	0.498149
747	182.041	5586	0.506491
748	182.284	5581	0.506037
749	182.528	5549	0.503136
750	182.772	5476	0.496517
751	183.016	5670	0.514107
752	183.260	5552	0.503408
753	183.504	5502	0.498874
754	183.748	5672	0.514288
755	183.991	5523	0.500778
756	184.235	5556	0.503771
757	184.479	5735	0.520001
758	184.723	5631	0.510571
759	184.967	5564	0.504496
760	185.211	5638	0.511206
761	185.455	5536	0.501957
762	185.698	5581	0.506037
763	185.942	5581	0.506037
764	186.186	5685	0.515467
765	186.430	5481	0.49697
766	186.674	5578	0.505765
767	186.918	5626	0.510118
768	187.162	5753	0.521633
769	187.406	5868	0.53206
770	187.649	5729	0.519457
771	187.893	5733	0.519819
772	188.137	5932	0.537863
773	188.381	5699	0.516737
774	188.625	5818	0.527526
775	188.869	5803	0.526166
776	189.113	5818	0.527526
777	189.356	5914	0.536231
778	189.600	5746	0.520998
779	189.844	5880	0.533148
780	190.088	5695	0.516374
781	190.332	5826	0.528252
782	190.576	5701	0.516918
783	190.820	5619	0.509483
784	191.063	5494	0.498149
785	191.307	5584	0.506309
786	191.551	5698	0.516646
787	191.795	5532	0.501594
788	192.039	5711	0.517825
789	192.283	5685	0.515467
790	192.527	5513	0.499872
791	192.771	5497	0.498421
792	193.014	5452	0.494341
793	193.258	5512	0.499781
794	193.502	5535	0.501866
795	193.746	5485	0.497333
796	193.990	5490	0.497786
797	194.234	5684	0.515377
798	194.478	5547	0.502955
799	194.721	5628	0.510299
800	194.965	5783	0.524353
801	195.209	5685	0.515467
802	195.453	5843	0.529793
803	195.697	5819	0.527617
804	195.941	5914	0.536231
805	196.185	5982	0.542397
806	196.429	6150	0.557629
807	196.672	6077	0.55101
808	196.916	6155	0.558083
809	197.160	6189	0.561166
810	197.404	6253	0.566969
811	197.648	6493	0.58873
812	197.892	7058	0.639959
813	198.136	8039	0.728908
814	198.379	9078	0.823115
815	198.623	10801	0.979342
816	198.867	12731	1.15434
817	199.111	13990	1.26849
818	199.355	14966	1.35699
819	199.599	14967	1.35708
820	199.843	13687	1.24102
821	200.086	11977	1.08597
822	200.330	9958	0.902906
823	200.574	8334	0.755656
824	200.818	6936	0.628897
825	201.062	6274	0.568873
826	201.306	5986	0.542759
827	201.550	5831	0.528705
828	201.794	5757	0.521996
829	202.037	5601	0.507851
830	202.281	5757	0.521996
831	202.525	5860	0.531335
832	202.769	6148	0.557448
833	203.013	6390	0.579391
834	203.257	6832	0.619467
835	203.501	7161	0.649298
836	203.744	7729	0.7008
837	203.988	7796	0.706875
