#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 10:49:09
# Real time (s): 12351.430
# Live time (s): 12032.110
#
# Total counts:  23907440
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       455452
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
807	196.672	2796	0.232378
808	196.916	2758	0.22922
809	197.160	2790	0.23188
810	197.404	2742	0.22789
811	197.648	2813	0.233791
812	197.892	2906	0.24152
813	198.136	2915	0.242268
814	198.379	3103	0.257893
815	198.623	3290	0.273435
816	198.867	3531	0.293465
817	199.111	3891	0.323385
818	199.355	3957	0.32887
819	199.599	3964	0.329452
820	199.843	3797	0.315572
821	200.086	3457	0.287315
822	200.330	3092	0.256979
823	200.574	2984	0.248003
824	200.818	2790	0.23188
825	201.062	2768	0.230051
826	201.306	2671	0.221989
827	201.550	2853	0.237116
828	201.794	2802	0.232877
829	202.037	2732	0.227059
830	202.281	2741	0.227807
831	202.525	2695	0.223984
832	202.769	2704	0.224732
833	203.013	2825	0.234788
834	203.257	2900	0.241022
835	203.501	2984	0.248003
836	203.744	3018	0.250829
837	203.988	2896	0.240689
